date,asset,monthly_return
2011-10-31,SPY,0.10914716388710133
2011-11-30,SPY,-0.004063615858231007
2011-12-31,SPY,0.010448244444474009
2012-01-31,SPY,0.04637487035162313
2012-02-29,SPY,0.043404950074510174
2012-03-31,SPY,0.032164163143286295
2012-04-30,SPY,-0.006675644379282808
2012-05-31,SPY,-0.060055849170772446
2012-06-30,SPY,0.04058106428929631
2012-07-31,SPY,0.011829620407218577
2012-08-31,SPY,0.02505275116936634
2012-09-30,SPY,0.025350469237735762
2012-10-31,SPY,-0.01819795005376368
2012-11-30,SPY,0.005659859375511278
2012-12-31,SPY,0.008934145927713688
2013-01-31,SPY,0.05119065914703569
2013-02-28,SPY,0.012758624113478723
2013-03-31,SPY,0.03797102892004878
2013-04-30,SPY,0.019212211533769175
2013-05-31,SPY,0.023609891971707597
2013-06-30,SPY,-0.013344706764084502
2013-07-31,SPY,0.051676909088492096
2013-08-31,SPY,-0.02999248185650827
2013-09-30,SPY,0.031646701646054654
2013-10-31,SPY,0.04630678928371412
2013-11-30,SPY,0.029637710275696172
2013-12-31,SPY,0.0259265500190502
2014-01-31,SPY,-0.03524833224779422
2014-02-28,SPY,0.04551590097116698
2014-03-31,SPY,0.008295617322312543
2014-04-30,SPY,0.006950908278002821
2014-05-31,SPY,0.023206841894754415
2014-06-30,SPY,0.02064514273409701
2014-07-31,SPY,-0.01343806088849464
2014-08-31,SPY,0.0394637558523081
2014-09-30,SPY,-0.013796312493504659
2014-10-31,SPY,0.02355112118252589
2014-11-30,SPY,0.02747134089390979
2014-12-31,SPY,-0.002536158372221098
2015-01-31,SPY,-0.02962919121214469
2015-02-28,SPY,0.05620427033847841
2015-03-31,SPY,-0.015705334172764762
2015-04-30,SPY,0.009834086948070198
2015-05-31,SPY,0.01285574715630644
2015-06-30,SPY,-0.020312196837879215
2015-07-31,SPY,0.02258947143800638
2015-08-31,SPY,-0.060950325568304486
2015-09-30,SPY,-0.02551580268122078
2015-10-31,SPY,0.08505967258197233
2015-11-30,SPY,0.003654997803718585
2015-12-31,SPY,-0.0172822457029308
2016-01-31,SPY,-0.049786947114245916
2016-02-29,SPY,-0.0008258098950780779
2016-03-31,SPY,0.06726592931523734
2016-04-30,SPY,0.003940915036450887
2016-05-31,SPY,0.01701184929988009
2016-06-30,SPY,0.00347612820338683
2016-07-31,SPY,0.036470992631914445
2016-08-31,SPY,0.001197609102221886
2016-09-30,SPY,5.8190605617181035e-05
2016-10-31,SPY,-0.017337176304987323
2016-11-30,SPY,0.03683823150275023
2016-12-31,SPY,0.02027188044505035
2017-01-31,SPY,0.017894553292226112
2017-02-28,SPY,0.03929184590625501
2017-03-31,SPY,0.0012500508128079346
2017-04-30,SPY,0.00992616829685633
2017-05-31,SPY,0.014112712678430839
2017-06-30,SPY,0.0063748841478619145
2017-07-31,SPY,0.020554259961164556
2017-08-31,SPY,0.002917817214190155
2017-09-30,SPY,0.020149237455139746
2017-10-31,SPY,0.023564096592389117
2017-11-30,SPY,0.03056598378267883
2017-12-31,SPY,0.012127899058221203
2018-01-31,SPY,0.056359446778373234
2018-02-28,SPY,-0.03636060778428718
2018-03-31,SPY,-0.027410787929907365
2018-04-30,SPY,0.005168422118537075
2018-05-31,SPY,0.024309060471014332
2018-06-30,SPY,0.005750724298240639
2018-07-31,SPY,0.037047113525660036
2018-08-31,SPY,0.03191945551594366
2018-09-30,SPY,0.005945522476726861
2018-10-31,SPY,-0.0691043905696096
2018-11-30,SPY,0.018549507216135463
2018-12-31,SPY,-0.08804860779746992
2019-01-31,SPY,0.08006609675409226
2019-02-28,SPY,0.03241530801217074
2019-03-31,SPY,0.018100376481614777
2019-04-30,SPY,0.0408527239660863
2019-05-31,SPY,-0.06377123583585431
2019-06-30,SPY,0.06958653130751458
2019-07-31,SPY,0.015119404060870645
2019-08-31,SPY,-0.016743267309023313
2019-09-30,SPY,0.019457630164954942
2019-10-31,SPY,0.02210475257352451
2019-11-30,SPY,0.03619817764396194
2019-12-31,SPY,0.02905561629842479
2020-01-31,SPY,-0.0004037892224385553
2020-02-29,SPY,-0.07916578166634358
2020-03-31,SPY,-0.12487133224032987
2020-04-30,SPY,0.12698345104584985
2020-05-31,SPY,0.04764538006560093
2020-06-30,SPY,0.017734242255418087
2020-07-31,SPY,0.05889203748198346
2020-08-31,SPY,0.0697971235643362
2020-09-30,SPY,-0.0374437468303932
2020-10-31,SPY,-0.024933513855422196
2020-11-30,SPY,0.10877673329257243
2020-12-31,SPY,0.03704837218150203
2021-01-31,SPY,-0.010190416100447686
2021-02-28,SPY,0.02780553792470597
2021-03-31,SPY,0.04539944166059362
2021-04-30,SPY,0.05291036736937027
2021-05-31,SPY,0.006566057961003624
2021-06-30,SPY,0.022427568289672628
2021-07-31,SPY,0.024412386033620503
2021-08-31,SPY,0.0297596259791697
2021-09-30,SPY,-0.046605212936479457
2021-10-31,SPY,0.0701634309640553
2021-11-30,SPY,-0.008034966898365581
2021-12-31,SPY,0.04624787105562489
2022-01-31,SPY,-0.052741131626995674
2022-02-28,SPY,-0.029517105268426103
2022-03-31,SPY,0.03759049192465591
2022-04-30,SPY,-0.0877691571011806
2022-05-31,SPY,0.0022572683480401867
2022-06-30,SPY,-0.08246027302835612
2022-07-31,SPY,0.09208731541690551
2022-08-31,SPY,-0.04080193343943772
2022-09-30,SPY,-0.09244589040498208
2022-10-31,SPY,0.08127551160763957
2022-11-30,SPY,0.05559144047844011
2022-12-31,SPY,-0.05762818552815496
2023-01-31,SPY,0.06288738988577647
2023-02-28,SPY,-0.02514265725432885
2023-03-31,SPY,0.03707778241533077
2023-04-30,SPY,0.01597490698416726
2023-05-31,SPY,0.004616177515709863
2023-06-30,SPY,0.06479983204314355
2023-07-31,SPY,0.03273318768397826
2023-08-31,SPY,-0.01625195303640159
2023-09-30,SPY,-0.04743453397257358
2023-10-31,SPY,-0.02170854069685857
2023-11-30,SPY,0.09134384147609964
2023-12-31,SPY,0.04565525452787078
2024-01-31,SPY,0.015926591537410273
2024-02-29,SPY,0.052186894549366425
2024-03-31,SPY,0.032701858328338496
2024-04-30,SPY,-0.040319621868539435
2024-05-31,SPY,0.05057955005572623
2024-06-30,SPY,0.03528031315640967
2024-07-31,SPY,0.012109019088269335
2024-08-31,SPY,0.023365672498981693
2024-09-30,SPY,0.02100455757608799
2024-10-31,SPY,-0.008923539741827025
2024-11-30,SPY,0.059633499958499536
2024-12-31,SPY,-0.024060244422572152
2025-01-31,SPY,0.0268564962055593
2025-02-28,SPY,-0.012694879396753067
2025-03-31,SPY,-0.055719174292190976
2025-04-30,SPY,-0.00867014376643227
2025-05-31,SPY,0.06284483157507648
2025-06-30,SPY,0.05138622856489983
2025-07-31,SPY,0.023031507002519103
2025-08-31,SPY,0.020519557405096478
2025-09-30,SPY,0.03562036495851717
2025-10-31,SPY,0.007685603250590756
